hashed_row,title,price,categories
a6aa3e964c5ec04a3c4ee13c310d73cf,BALEAF Women's Conservative Athletic Racerback One Piece Training Bathing Suit,32.99,"['Clothing, Shoes & Jewelry', 'Sport Specific Clothing', 'Competitive Swimwear', 'Women', 'One-Piece Suits']"
9ca440b413cee5c39f8a3935666eeb81,"CleverMade Chair Umbrella, Outdoor Sport Canopy, Adjustable UPF 50+ Beach Umbrella with Clamps",72.6,"['Sports & Outdoors', 'Outdoor Recreation', 'Camping & Hiking', 'Tents & Shelters', 'Camping Shelters', 'Sun Shelters']"
92d9a04a633e92233ef8ff1a9b6cb175,"TEDIDUWA Industrial Pipe Clothing Rack with Top Shelf, Space-Saving Wall Mounted Clothes Rack, Shelf with Hanging Rod for Closet Storage, Laundry Room. (1T, Brown)",49.0,"['Home & Kitchen', 'Storage & Organization', 'Clothing & Closet Storage', 'Garment Racks']"
1721c4793104d56e9600688faa834814,"SILLY MONKEY Improved Design Umbrella Holder and Bonus Stroller Hook - Adjustable Parasol Clamp Mount for Stroller, Wheelchair, Rollator, Bike, Pram Sunshade - Complete with Non-Slip Multipurpose Clip",15.99,"['Baby Products', 'Strollers & Accessories', 'Accessories', 'Sun Protection']"
0d1bad27a0a458cc6d9e67b0932a1cd1,"Perfin Wooden Wall Hooks, Plant Hangers Indoor, 8-Inch Wall Mounted Hanging Plant Hooks for Planters, Lanterns, Flower Bracket, Wind Chimes, Decoration Hooks (2 Pack)",16.95,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Outdoor Hanging Brackets']"
3bd1e702088bb338871e7ef7155fc177,Fox Run Expanding Beechwood Coffee Mug Wall Rack,17.1,"['Home & Kitchen', 'Kitchen & Dining', 'Storage & Organization', 'Racks & Holders', 'Mug Hooks']"
aae3b6e7cc62954bc339e19b6c9c3ac8,"Signice Banana Holder Stand - Newest Patented Modern Banana Tree Hanger with Wood Base Stainless Steel Banana Rack for Home Kitchen Use,Doesn't Tip Over (Black)",15.99,"['Home & Kitchen', 'Kitchen & Dining', 'Storage & Organization', 'Kitchen Storage & Organization Accessories']"
eb4df45bc2e8a3fdb520dfc3b0ddb533,"Pennington Pride Waste Free Blend Wild Bird Seed, 10 lb",24.99,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Backyard Birding & Wildlife', 'Squirrels']"
ef6b30ef600640813f7e7df07b5c98b1,PAWBEE Window Bird Feeder - Window Bird Feeders with Strong Suction Cups - Suction Cup Bird Feeder Window with Drain Holes for Rain - Clear Bird Feeders for Window - Bird House for Window Outside,19.99,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Backyard Birding & Wildlife', 'Birds', 'Feeders']"
48a94806425e3446adc2899880958dce,"Outlet Covers Baby Proofing White - PRObebi 38 Pack Plug Covers for Electrical Outlets, Child Proof Socket Covers, Baby Safety Products for Home, Office, Easy Insatllation, Protect Babies",8.99,"['Baby Products', 'Safety', 'Electrical Safety']"
092f43cfdd700a3dd6f37727c2bec7da,"Safety Innovations Twin Door Baby Safety Outlet Cover Box for Babyproofing Outlets - More Interior Space for Extra Large Electrical Plugs and Adapters - Easy to Install - Easy to Use, (1-Pack)",12.79,"['Tools & Home Improvement', 'Electrical', 'Electrical Boxes, Conduits & Fittings', 'Outlet Boxes']"
